city,avg_age,avg_house_value,avg_income,latitude,longitude
adelanto,11.333333333333334,98693.33333333333,27229.533333333333,34.56133333333333,-117.48666666666668
agoura hills,14.0,374943.0,61859.857142857145,34.15,-118.75142857142858
alameda,45.824561403508774,170721.05263157896,30849.798245614034,37.77263157894739,-122.22728070175435
alamo,23.25,359487.625,68140.1875,37.861875000000005,-122.03687499999998
albany,46.208333333333336,239439.58333333334,40102.479166666664,37.88916666666667,-122.29125000000003
algodones,18.0,57500.0,31607.0,33.07,-114.98
alhambra,36.529411764705884,244808.88235294117,36030.117647058825,34.09058823529413,-118.13264705882352
aliso viejo,16.11111111111111,219244.44444444444,41183.88888888889,33.61333333333334,-117.74777777777778
alondra park,34.6551724137931,236265.5172413793,44611.862068965514,33.88999999999999,-118.32793103448275
alpine,15.0,203918.75,44431.25,32.86562500000001,-116.698125
altadena,45.660377358490564,245854.7358490566,44112.018867924526,34.18396226415097,-118.13000000000004
altamont,30.8,40760.0,18506.8,41.684,-121.178
american canyon,24.0625,163406.25,44100.3125,38.16999999999999,-122.24812500000002
anaheim,28.205479452054796,197610.95890410958,36324.520547945205,33.83,-117.91643835616435
anderson,19.205882352941178,88858.82352941176,27082.264705882353,40.47294117647059,-122.24911764705881
antioch,25.195121951219512,138107.31707317074,38271.41463414634,37.997317073170734,-121.81097560975611
apple valley,13.0,106108.69565217392,31501.130434782608,34.48739130434783,-117.14000000000001
aptos,20.05263157894737,307605.2631578947,47584.10526315789,36.97631578947368,-121.87789473684212
arcadia,35.96774193548387,367606.6451612903,54008.6129032258,34.13193548387097,-118.02774193548387
arcata,23.484375,93392.1875,23677.796875,41.09828125,-123.99890625000002
arroyo grande,18.764705882352942,232388.23529411765,35009.82352941176,35.114117647058826,-120.56764705882351
artesia,24.541666666666668,233591.66666666666,47476.5,33.86541666666667,-118.0833333333333
arvin,21.416666666666668,89291.66666666667,26380.0,35.13333333333333,-118.83333333333331
ashland,27.28205128205128,134720.5128205128,29259.71794871795,39.44000000000001,-122.33666666666667
atascadero,16.352941176470587,183000.0,33864.14705882353,35.559705882352944,-120.66735294117646
atwater,21.03846153846154,90546.15384615384,27935.5,37.36538461538463,-120.60153846153845
auburn,22.571428571428573,168500.0,36075.857142857145,38.87714285714286,-121.05571428571432
avenal,19.636363636363637,60527.27272727273,20750.636363636364,36.041818181818186,-120.08090909090907
avocado heights,30.0,183900.0,36267.75,34.037499999999994,-117.99249999999999
azusa,29.63157894736842,159747.36842105264,33046.78947368421,34.13263157894736,-117.91210526315791
bakersfield,29.512345679012345,77418.51851851853,26881.12962962963,35.35598765432102,-119.01327160493824
baldwin park,26.333333333333332,155056.66666666666,32921.933333333334,34.087333333333355,-117.96399999999998
banning,22.571428571428573,89233.33333333333,25377.95238095238,33.95095238095238,-116.83904761904766
barstow,24.766666666666666,68963.33333333333,27120.666666666668,34.907333333333334,-116.99799999999999
bay point,18.25,129458.33333333333,35497.5,38.02416666666667,-121.95666666666669
beaumont,19.8,107433.33333333333,26311.6,33.936666666666675,-116.97866666666667
bell,33.45454545454545,168768.18181818182,22525.636363636364,33.975909090909106,-118.18954545454545
bell gardens,30.75862068965517,190175.8620689655,28888.137931034482,33.964482758620704,-118.15034482758622
bellflower,32.0,202581.81818181818,38865.40909090909,33.89068181818181,-118.11636363636359
belmont,33.28125,367287.5,52098.625,37.525,-122.28906250000004
benicia,20.61111111111111,184061.11111111112,47198.88888888889,38.06666666666666,-122.16666666666669
berkeley,48.88990825688074,245235.79816513762,34253.65137614679,37.86449541284407,-122.26844036697268
beverly hills,33.97175141242938,436451.3615819209,61637.022598870055,34.10169491525432,-118.42310734463283
bloomington,21.133333333333333,120346.66666666667,35979.4,34.068666666666665,-117.39333333333336
blythe,21.333333333333332,78205.55555555556,20712.88888888889,33.638888888888886,-114.65944444444442
bonita,17.745098039215687,183154.9019607843,46968.78431372549,32.65705882352943,-117.03294117647062
bostonia,22.147058823529413,160594.11764705883,36879.470588235294,32.80882352941177,-116.92441176470585
brawley,24.741935483870968,69767.74193548386,24699.451612903227,33.0641935483871,-115.57903225806454
brea,21.542857142857144,248302.85714285713,53495.28571428572,33.91457142857143,-117.89800000000004
brentwood,20.615384615384617,189507.6923076923,41551.692307692305,37.91923076923077,-121.67076923076921
buena park,26.876923076923077,206592.3076923077,44911.876923076925,33.864,-117.98846153846152
bullhead city,32.166666666666664,61916.666666666664,21122.5,34.84166666666666,-114.61666666666667
burbank,34.737991266375545,245654.16593886464,38300.49781659389,34.19419213973795,-118.33554585152852
burlingame,42.0,439362.875,56247.125,37.580625,-122.35937499999996
calabasas,27.356020942408378,296755.6178010471,53340.38743455497,34.18916230366492,-118.58738219895287
calexico,22.42105263157895,77726.31578947368,21199.052631578947,32.73,-115.46578947368421
california city,18.333333333333332,90650.0,31321.055555555555,35.099999999999994,-117.92944444444447
camarillo,20.102564102564102,263992.3333333333,51926.46153846154,34.2069230769231,-119.01384615384613
cameron park,13.413793103448276,177213.7931034483,44030.24137931035,38.58517241379309,-120.95551724137927
campbell,26.95104895104895,282522.37762237765,49105.342657342655,37.277972027972055,-121.92790209790199
canyon lake,12.75,142650.0,32662.75,33.695,-117.27
capitola,24.8125,274643.75,32266.5625,36.963750000000005,-121.96687500000002
carlsbad,17.333333333333332,236226.73333333334,38983.86666666667,33.160999999999994,-117.32933333333332
carmichael,27.214285714285715,158997.61904761905,35560.80952380953,38.621190476190456,-121.34642857142856
carpinteria,22.5,314146.64285714284,42864.0,34.40892857142857,-119.43714285714286
carson,28.568181818181817,182438.63636363635,41163.90909090909,33.829318181818174,-118.26681818181827
castro valley,32.10344827586207,241027.58620689655,45816.24137931035,37.705862068965544,-122.07655172413793
cathedral city,15.565217391304348,137647.8260869565,32878.95652173913,33.78999999999999,-116.46478260869566
ceres,24.7027027027027,136689.1891891892,28313.675675675677,37.59486486486487,-120.93648648648647
cerritos,18.90909090909091,306345.45454545453,55560.818181818184,33.86272727272728,-118.05909090909087
charter oak,25.166666666666668,243022.27777777778,53242.166666666664,34.10000000000001,-117.8483333333333
cherryland,34.111111111111114,182574.07407407407,34046.62962962963,37.66962962962962,-122.10222222222221
chico,27.91891891891892,96447.2972972973,24667.013513513513,39.69405405405406,-121.94364864864868
chino,16.3,180106.66666666666,44791.4,34.01399999999999,-117.69233333333332
chino hills,13.214285714285714,322171.5,70643.35714285714,33.869285714285716,-117.74571428571429
chowchilla,23.59259259259259,86096.29629629629,24632.48148148148,37.28407407407408,-120.1188888888889
chula vista,27.360655737704917,143036.0655737705,29776.622950819674,32.62639344262292,-117.07557377049186
citrus,31.3,156895.0,39683.15,34.116,-117.88850000000002
citrus heights,15.0625,143646.875,40463.09375,38.7021875,-121.27718750000003
claremont,31.25,184600.0,40740.5,34.0982142857143,-117.72142857142855
clayton,18.22222222222222,256507.40740740742,58687.07407407407,37.94592592592591,-121.95629629629627
clearlake,18.810126582278482,91631.64556962025,22795.443037974685,38.98037974683546,-122.69101265822785
clovis,15.872881355932204,105701.69491525424,36570.754237288136,36.91093220338983,-119.68372881355936
coachella,17.73076923076923,74661.53846153847,20892.884615384617,33.5326923076923,-116.08076923076925
coalinga,22.727272727272727,92054.54545454546,29721.272727272728,36.13999999999999,-120.37454545454544
colton,37.42857142857143,79621.42857142857,24206.64285714286,34.07678571428572,-117.32035714285712
commerce,40.0625,156812.5,24996.75,34.013124999999995,-118.14750000000004
compton,34.16438356164384,116094.52054794521,26323.561643835616,33.890000000000036,-118.21671232876712
concord,27.12857142857143,186830.0,42999.65714285714,37.973,-122.02114285714288
